"id","latitude","longitude","wsp"
270,46.8244,-32.518,-0.0217564
271,44.8679,-36.7633,0.0014957
272,42.803,-40.7703,0.0235164
273,40.6451,-44.5581,0.0438893
274,38.409,-48.1472,0.0623107
275,36.1083,-51.5581,0.0785956
276,33.7556,-54.8111,0.092669
277,31.363,-57.9256,0.104554
278,28.9412,-60.9202,0.114366
279,26.5007,-63.8129,0.12229
280,24.0511,-66.6204,0.128571
281,46.7484,-24.132,-0.0208087
282,45.0456,-28.5273,-0.000518787
283,43.2198,-32.703,0.0192747
284,41.2852,-36.6702,0.0381192
285,39.2557,-40.442,0.0556466
286,37.1446,-44.0337,0.0715825
287,34.9646,-47.4612,0.0857483
288,32.7276,-50.7407,0.0980602
289,30.445,-53.8884,0.108521
290,28.1274,-56.9201,0.117213
291,25.7849,-59.8512,0.124285
292,23.4269,-62.6966,0.129941
293,21.0623,-65.4708,0.134426
294,44.7147,-20.5269,0.00321706
295,43.1281,-24.7971,0.0202166
296,41.4221,-28.8801,0.0368556
297,39.6089,-32.7823,0.0527557
298,37.7006,-36.5127,0.067604
299,35.7091,-40.0822,0.081161
300,33.646,-43.5029,0.0932649
301,31.5223,-46.7874,0.103834
302,29.3486,-49.9489,0.112859
303,27.1351,-53.0005,0.120403
304,24.8913,-55.9553,0.126586
305,22.6261,-58.8262,0.131579
306,20.3483,-61.6258,0.13559
307,18.066,-64.3665,0.138854
308,42.5722,-17.1796,0.0258218
309,41.0896,-21.3126,0.0399064
310,39.4922,-25.2866,0.0537182
311,37.7907,-29.105,0.0669448
312,35.9954,-32.7735,0.0793287
313,34.1169,-36.2998,0.0906678
314,32.1657,-39.693,0.100823
315,30.1517,-42.9629,0.109723
316,28.0846,-46.1199,0.117356
317,25.9739,-49.1748,0.123772
318,23.8284,-52.1386,0.129069
319,21.6567,-55.0221,0.133394
320,19.4668,-57.8362,0.136926
321,17.2666,-60.5917,0.139867
322,15.0636,-63.2994,0.142435
323,40.3359,-14.0665,0.0465958
