hr_a;hr_b
-9.217894747998190699e-05;-5.095342281359321879e-01
-9.217659768838246278e-05;-5.095247901049475558e-01
-9.217919353245076618e-05;-5.095358133433282033e-01
-9.217592703996737842e-05;-5.095246704147926575e-01
-9.217907604549718293e-05;-5.095348290854572193e-01
-9.217712219205444354e-05;-5.095245574712643499e-01
-9.217873362137348609e-05;-5.095361494252874657e-01
-9.217694322655360455e-05;-5.095252781109442797e-01
-9.217595965191391469e-05;-5.095242763618192949e-01
-9.217830236646947905e-05;-5.095348050974514154e-01
-9.217900643506608902e-05;-5.095339440279857968e-01
-9.217611123918712543e-05;-5.095249540229883634e-01
-9.217757820018419195e-05;-5.095251466766620441e-01
-9.217857768925359510e-05;-5.095339510244875081e-01
-9.217733514615503187e-05;-5.095299422788605037e-01
-9.217772278102720376e-05;-5.095294015492253248e-01
-9.217870969780189337e-05;-5.095298555722138634e-01
-9.217674760489916348e-05;-5.095290382308846899e-01
-9.217738458508035690e-05;-5.095296481759120644e-01
-9.217790830193278067e-05;-5.095295077461269306e-01
-9.217780047720765290e-05;-5.095300297351322838e-01
-9.217780117743144027e-05;-5.095289537731135798e-01
-9.217697190855560913e-05;-5.095304260369815097e-01
-9.217804812146407269e-05;-5.095284155422289407e-01
-9.217754547455075020e-05;-5.095300572213892210e-01
-9.217735394233024656e-05;-5.095292641179409721e-01
-9.217851597603652540e-05;-5.095302521239379878e-01
-9.217638014414357352e-05;-5.095286561719140073e-01
-9.217797216221610725e-05;-5.095299462768616561e-01
-7.343390919849220977e-05;-3.132781751624187927e-01
-7.343696962563757305e-05;-3.132878118440779458e-01
-7.343403235196972441e-05;-3.132770934532736473e-01
-7.343747149690352694e-05;-3.132881844077960443e-01
-7.343418935371445928e-05;-3.132774930034982752e-01
-7.343607589141520171e-05;-3.132877478760620060e-01
-7.343374008321119949e-05;-3.132767113943027981e-01
-7.343721717412306747e-05;-3.132898983008492455e-01
-7.343428351876062185e-05;-3.132775632183909531e-01
-7.343370168552997891e-05;-3.132763825587205342e-01
-7.343652729856880166e-05;-3.132880789605199112e-01
-7.343658394210324193e-05;-3.132868183408296647e-01
