sol_lon;latitude;insol
0;85.0;15.485845435534523
0;86.0;12.394340710939227
0;87.0;9.299060550096746
0;88.0;6.200947805328643
0;89.0;3.1009461917891064
0;90.0;0.031011036153456253
1;-90.0;0.0
1;-89.0;1.3229295593103825
1;-88.0;4.273053270330833
1;-87.0;7.316799703545477
1;-86.0;10.381489998312071
1;-85.0;13.45224337660271
1;-84.0;16.523507220135993
1;-83.0;19.5923723090024
1;-82.0;22.656918017621212
1;-81.0;25.715663330493328
1;-80.0;28.76734795504861
1;-79.0;31.810833132945998
1;-78.0;34.84505223734635
1;-77.0;37.86898432048552
1;-76.0;40.88163912619276
1;-75.0;43.88204821271828
1;-74.0;46.86925951045877
1;-73.0;49.84233389893455
1;-72.0;52.80034301685587
1;-71.0;55.742367850254475
1;-70.0;58.66749782571037
1;-69.0;61.57483023970109
1;-68.0;64.46346991653529
1;-67.0;67.33252902472144
1;-66.0;70.1811270049835
1;-65.0;73.00839057808756
1;-64.0;75.81345381041508
1;-63.0;78.59545822173504
1;-62.0;81.35355292404766
1;-61.0;84.08689478342087
1;-60.0;86.79464859887541
1;-59.0;89.47598729388858
1;-58.0;92.13009211717599
1;-57.0;94.75615285020193
1;-56.0;97.35336801945247
1;-55.0;99.9209451119378
1;-54.0;102.45810079271497
1;-53.0;104.96406112346922
1;-52.0;107.43806178137906
1;-51.0;109.87934827763571
1;-50.0;112.28717617509979
1;-49.0;114.66081130466627
1;-48.0;116.99952997997791
1;-47.0;119.3026192101821
1;-46.0;121.56937691047125
1;-45.0;123.79911211018019
1;-44.0;125.99114515824532
1;-43.0;128.14480792585132
1;-42.0;130.25944400611226
1;-41.0;132.33440891064777
1;-40.0;134.36907026293161
1;-39.0;136.36280798829677
1;-38.0;138.31501450049424
1;-37.0;140.22509488470908
1;-36.0;142.09246707694388
1;-35.0;143.91656203968682
1;-34.0;145.69682393378625
1;-33.0;147.43271028645776
1;-32.0;149.12369215535455
1;-31.0;150.7692542886358
1;-30.0;152.3688952809698
1;-29.0;153.92212772541293
1;-28.0;155.42847836110784
1;-27.0;156.88748821674622
1;-26.0;158.2987127497457
1;-25.0;159.66172198109018
1;-24.0;160.97610062578758
1;-23.0;162.24144821889902
1;-22.0;163.45737923709683
1;-21.0;164.6235232157101
1;-20.0;165.7395248612182
1;-19.0;166.8050441591551
1;-18.0;167.81975647738827
1;-17.0;168.78335266473852
1;-16.0;169.69553914490822
1;-15.0;170.55603800568753
1;-14.0;171.36458708340908
1;-13.0;172.12094004262443
1;-12.0;172.82486645097666
1;-11.0;173.4761518492438
1;-10.0;174.07459781653245
1;-9.0;174.62002203059956
1;-8.0;175.11225832328293
1;-7.0;175.55115673102412
1;-6.0;175.9365835404661
1;-5.0;176.26842132911224
1;-4.0;176.5465690010333
1;-3.0;176.77094181761163
1;-2.0;176.94147142331167
1;-1.0;177.05810586647044
1;0.0;177.12080961509977
1;1.0;177.12956356769624
1;2.0;177.08436505905522
1;3.0;176.9852278610872
1;4.0;176.83218217863626
1;5.0;176.62527464030188
1;6.0;176.36456828426694
1;7.0;176.05014253913717
1;8.0;175.68209319979732
1;9.0;175.2605323982917
1;10.0;174.7855885697397
1;11.0;174.25740641329512
1;12.0;173.67614684816365
1;13.0;173.04198696469166
1;14.0;172.35511997054155
1;15.0;171.61575513197246
1;16.0;170.8241177102432
1;17.0;169.98044889315972
1;18.0;169.08500572178798
1;19.0;168.1380610123568
1;20.0;167.13990327337513
1;21.0;166.09083661799212
1;22.0;164.99118067162746
1;23.0;163.84127047490304
1;24.0;162.64145638190794
1;25.0;161.39210395383097
1;26.0;160.09359384799538
1;27.0;158.74632170233488
1;28.0;157.35069801534888
1;29.0;155.90714802157868
1;30.0;154.4161115626487
1;31.0;152.87804295391663
1;32.0;151.2934108467816
1;33.0;149.66269808669907
1;34.0;147.98640156695544
1;35.0;146.26503207825726
1;36.0;144.49911415419163
