#;OMEGA;insol;kat;lat;location;name;sollon;zachSlonca
121;81.71652448976593;108.0571118514145;21.59520946876876;-20.0;{96.16980094203038,94.00400812486131,0.0};'xxx121';60.0;0.14407080908081052
122;85.99774488047973;128.79799347327378;21.59520946876876;-10.0;{10.343992086529386,38.53920812666022,0.0};'xxx122';60.0;0.06979573707355757
123;90.0;146.351669640702;21.59520946876876;0.0;{41.03435678574555,16.382584736896344,0.0};'xxx123';60.0;-0.0
124;94.00225511952029;160.14975138468557;21.59520946876876;10.0;{96.7839579215837,68.1120762504634,0.0};'xxx124';60.0;-0.06979573707355757
125;98.28347551023408;169.8080203748549;21.59520946876876;20.0;{78.77535455675184,59.88892956279182,0.0};'xxx125';60.0;-0.14407080908081052
126;103.21073662833649;175.15247268762405;21.59520946876876;30.0;{29.917692443404743,72.17562223041183,0.0};'xxx126';60.0;-0.22853330457879426
127;109.39883137035255;176.28136251148712;21.59520946876876;40.0;{20.589321629380887,55.67838971265371,0.0};'xxx127';60.0;-0.3321418934348996
128;118.14687212258085;173.7291621314123;21.59520946876876;50.0;{23.090180215586898,12.572743126570273,0.0};'xxx128';60.0;-0.4717333675820148
129;133.2828052447843;169.04787117349966;21.59520946876876;60.0;{66.32581545712486,65.03643688922999,0.0};'xxx129';60.0;-0.6855999137363826
130;180.0;169.65922679896047;21.59520946876876;70.0;{23.170313037865665,45.513677712262144,0.0};'xxx130';60.0;-1.0875375442448398
131;180.0;177.80465465604559;21.59520946876876;80.0;{81.83829436020163,37.394394619335316,0.0};'xxx131';60.0;-2.2448708255632366
132;180.0;180.5475753050065;21.59520946876876;90.0;{20.036699260797587,1.2632905475725154,0.0};'xxx132';60.0;-2267.9462358201495
133;0.0;0.0;23.43217519191741;-90.0;{92.22995752050696,62.93520529641848,0.0};'xxx133';70.0;2483.230727647687
134;0.0;0.0;23.43217519191741;-80.0;{26.368236040674464,21.76936514368073,0.0};'xxx134';70.0;2.4579648871713937
135;0.0;0.0;23.43217519191741;-70.0;{63.44963518831126,84.76185744555498,0.0};'xxx135';70.0;1.1907718995651948
136;41.35064991139876;8.714981365872369;23.43217519191741;-60.0;{91.35500626480922,31.442383222414005,0.0};'xxx136';70.0;0.7506803934649354
137;58.901387421749746;30.324112054079084;23.43217519191741;-50.0;{31.800789146095287,11.573324145009556,0.0};'xxx137';70.0;0.516512594141264
138;68.67421915486514;54.909639140368164;23.43217519191741;-40.0;{56.10076518170428,18.906358866584615,0.0};'xxx138';70.0;0.3636704180592545
139;75.50906668630816;79.85119873126244;23.43217519191741;-30.0;{99.03772243698691,84.02335821477236,0.0};'xxx139';70.0;0.2502267978216452
140;80.923868590125;103.69243149761603;23.43217519191741;-20.0;{14.769464926626274,71.02009171509056,0.0};'xxx140';70.0;0.15774671128266682
141;85.61712097322018;125.39265835128043;23.43217519191741;-10.0;{99.3635796687904,79.44232077313588,0.0};'xxx141';70.0;0.0764210880410048
142;90.0;144.14835325664765;23.43217519191741;0.0;{26.0757483147815,15.488337568061672,0.0};'xxx142';70.0;-0.0
143;94.38287902677982;159.3474489511618;23.43217519191741;10.0;{17.968527354414743,88.18937192609488,0.0};'xxx143';70.0;-0.0764210880410048
144;99.07613140987502;170.57031356695447;23.43217519191741;20.0;{3.0749502255890238,84.85834857026403,0.0};'xxx144';70.0;-0.15774671128266682
145;104.49093331369184;177.6201216652223;23.43217519191741;30.0;{4.462125042145237,68.58109081421576,0.0};'xxx145';70.0;-0.2502267978216452
146;111.32578084513486;180.59894368906325;23.43217519191741;40.0;{8.356400101312788,98.42848243669525,0.0};'xxx146';70.0;-0.3636704180592545
147;121.09861257825024;180.11479230065424;23.43217519191741;50.0;{72.32269977930055,79.99004347129117,0.0};'xxx147';70.0;-0.516512594141264
148;138.64935008860124;178.05572328877687;23.43217519191741;60.0;{70.11444043766453,71.31498817977125,0.0};'xxx148';70.0;-0.7506803934649354
149;180.0;183.74547084645647;23.43217519191741;70.0;{79.44528499816396,84.56612317138918,0.0};'xxx149';70.0;-1.1907718995651948
150;180.0;192.5671866180335;23.43217519191741;80.0;{34.951610968916604,80.47988140405202,0.0};'xxx150';70.0;-2.4579648871713937
151;180.0;195.53784288970803;23.43217519191741;90.0;{92.60467608948896,40.34002824182959,0.0};'xxx151';70.0;-2483.230727647687
152;0.0;0.0;24.55716612911242;-90.0;{23.556843727442068,43.16686302475479,0.0};'xxx152';80.0;2618.026097607952
153;0.0;0.0;24.55716612911242;-80.0;{29.472048932329976,93.83207831793652,0.0};'xxx153';80.0;2.5913887702712386
154;0.0;0.0;24.55716612911242;-70.0;{93.4800573944351,21.078822276020727,0.0};'xxx154';80.0;1.2554096865227626
155;37.6807431301143;6.550035696737425;24.55716612911242;-60.0;{90.24462548420806,33.446897779554355,0.0};'xxx155';80.0;0.791429019934646
156;57.006078070396256;27.440988102943006;24.55716612911242;-50.0;{94.39204101813192,12.159535499311403,0.0};'xxx156';80.0;0.5445500638138309
157;67.45485472155532;51.96106345598477;24.55716612911242;-40.0;{51.23896159132046,99.78794686730527,0.0};'xxx157';80.0;0.3834112693624026
158;74.70376460963547;77.17844588105606;24.55716612911242;-30.0;{3.9179174360788105,21.671071268365203,0.0};'xxx158';80.0;0.26380967331154875
159;80.42668214475981;101.532729621746;24.55716612911242;-20.0;{61.945103147323465,24.940631351458762,0.0};'xxx159';80.0;0.16630955889510138
160;85.37870455348875;123.92741846636414;24.55716612911242;-10.0;{7.301032217363201,19.768353907215207,0.0};'xxx160';80.0;0.08056939722571407
161;90.0;143.52015927173534;24.55716612911242;0.0;{33.80069429199989,33.21499966925053,0.0};'xxx161';80.0;-0.0
162;94.62129544651125;159.66833689328368;24.55716612911242;10.0;{77.37680256884326,32.49206655056975,0.0};'xxx162';80.0;-0.08056939722571407
163;99.57331785524019;171.92859675496052;24.55716612911242;20.0;{68.71131999623643,21.4686159371263,0.0};'xxx163';80.0;-0.16630955889510138
164;105.29623539036453;180.09031891975033;24.55716612911242;30.0;{2.171754652961877,24.23445813334879,0.0};'xxx164';80.0;-0.26380967331154875
165;112.54514527844468;184.2620172137986;24.55716612911242;40.0;{4.675505840098937,7.847504785428983,0.0};'xxx165';80.0;-0.3834112693624026
166;122.99392192960373;185.1111250474581;24.55716612911242;50.0;{45.155059394382356,5.460995673580671,0.0};'xxx166';80.0;-0.5445500638138309
167;142.31925686988572;184.79862850183363;24.55716612911242;60.0;{94.55675989431644,49.6570219939216,0.0};'xxx167';80.0;-0.791429019934646
168;180.0;193.41105537143463;24.55716612911242;70.0;{32.650654137840796,41.67730700812818,0.0};'xxx168';80.0;-1.2554096865227626
169;180.0;202.6968208910283;24.55716612911242;80.0;{50.05290518964579,72.65435194907606,0.0};'xxx169';80.0;-2.5913887702712386
170;180.0;205.82374294251372;24.55716612911242;90.0;{29.89026873434012,1.5159319717040542,0.0};'xxx170';80.0;-2618.026097607952
171;0.0;0.0;24.936;-90.0;{98.81824054633907,3.6673167277959884,0.0};'xxx171';90.0;2663.958468599075
172;0.0;0.0;24.936;-80.0;{45.59046893197972,39.32265957736529,0.0};'xxx172';90.0;2.636853798479736
173;0.0;0.0;24.936;-70.0;{81.78383155590726,16.55137575694352,0.0};'xxx173';90.0;1.2774354193907043
174;36.35937323803475;5.913807871632166;24.936;-60.0;{99.85533906269364,12.718360223713997,0.0};'xxx174';90.0;0.8053143709592188
175;56.35097675951426;26.718021281561775;24.936;-50.0;{62.629046260280305,50.565871698399434,0.0};'xxx175';90.0;0.5541040081298136
176;67.03690804293642;51.424573114809995;24.936;-40.0;{0.04094757276541516,89.02288567030492,0.0};'xxx176';90.0;0.39013808873315753
177;74.42865277201037;76.95622847924234;24.936;-30.0;{45.46779181643238,75.21610440845924,0.0};'xxx177';90.0;0.26843812365307296
178;80.25709830892359;101.70077986142626;24.936;-20.0;{89.78656000325908,84.63827402856099,0.0};'xxx178';90.0;0.16922740313107726
179;85.29744454371094;124.53208744734845;24.936;-10.0;{91.66070764913631,69.88122394660307,0.0};'xxx179';90.0;0.08198295969832804
180;90.0;144.586685612238;24.936;0.0;{46.73261323822538,80.88630428656911,0.0};'xxx180';90.0;-0.0
181;94.70255545628906;161.20566069287665;24.936;10.0;{99.09408768428708,54.89018433604441,0.0};'xxx181';90.0;-0.08198295969832804
182;99.74290169107641;173.93361838714077;24.936;20.0;{48.01211779096961,43.55279071765822,0.0};'xxx182';90.0;-0.16922740313107726
183;105.57134722798965;182.55357403811925;24.936;30.0;{69.03044053583409,0.6168774069249539,0.0};'xxx183';90.0;-0.26843812365307296
184;112.96309195706358;187.17790379687798;24.936;40.0;{57.71886399287547,75.43744640599114,0.0};'xxx184';90.0;-0.39013808873315753
185;123.64902324048576;188.5025408285461;24.936;50.0;{0.8285633565890738,92.88879349964412,0.0};'xxx185';90.0;-0.5541040081298136
186;143.64062676196525;188.8137755240147;24.936;60.0;{43.222752599458644,39.193078533246414,0.0};'xxx186';90.0;-0.8053143709592188
187;180.0;198.45809279251253;24.936;70.0;{24.56404908286145,66.23529417250307,0.0};'xxx187';90.0;-1.2774354193907043
188;180.0;207.9861692077825;24.936;80.0;{90.30434868945743,80.5189904402485,0.0};'xxx188';90.0;-2.636853798479736
189;180.0;211.1946879010748;24.936;90.0;{42.22812176532743,95.8655267682604,0.0};'xxx189';90.0;-2663.958468599075
190;0.0;0.0;24.55716612911242;-90.0;{36.80628848456639,45.41770221969195,0.0};'xxx190';100.0;2618.026097607952
191;0.0;0.0;24.55716612911242;-80.0;{14.613999215059238,6.6815018814104565,0.0};'xxx191';100.0;2.5913887702712386
192;0.0;0.0;24.55716612911242;-70.0;{85.54905468128473,65.48656537167372,0.0};'xxx192';100.0;1.2554096865227626
193;37.6807431301143;6.7264206812309455;24.55716612911242;-60.0;{38.231233184537494,77.93138388014471,0.0};'xxx193';100.0;0.791429019934646
194;57.006078070396256;28.179942588860595;24.55716612911242;-50.0;{11.883696363693009,22.378306056143803,0.0};'xxx194';100.0;0.5445500638138309
195;67.45485472155532;53.36031558166644;24.55716612911242;-40.0;{10.88040089064225,2.064232084735429,0.0};'xxx195';100.0;0.3834112693624026
196;74.70376460963547;79.25677332998046;24.55716612911242;-30.0;{83.6024701620293,15.016315679873117,0.0};'xxx196';100.0;0.26380967331154875
197;80.42668214475981;104.26689013156381;24.55716612911242;-20.0;{56.031302856317886,96.5119048315081,0.0};'xxx197';100.0;0.16630955889510138
198;85.37870455348875;127.26464238338792;24.55716612911242;-10.0;{95.48654016560732,13.993102429050808,0.0};'xxx198';100.0;0.08056939722571407
199;90.0;147.3849933336721;24.55716612911242;0.0;{71.97352237377004,50.863921530660306,0.0};'xxx199';100.0;-0.0
200;94.62129544651125;163.96802294553774;24.55716612911242;10.0;{12.616023601129688,5.34961493868249,0.0};'xxx200';100.0;-0.08056939722571407
201;99.57331785524019;176.55843761028925;24.55716612911242;20.0;{88.21274518582763,63.67370454402737,0.0};'xxx201';100.0;-0.16630955889510138
202;105.29623539036453;184.93994563642846;24.55716612911242;30.0;{79.76267578288548,83.15007342815186,0.0};'xxx202';100.0;-0.26380967331154875
203;112.54514527844468;189.22398300357122;24.55716612911242;40.0;{82.86277345327018,91.92210411532513,0.0};'xxx203';100.0;-0.3834112693624026
204;122.99392192960373;190.09595634194054;24.55716612911242;50.0;{35.109142861118805,63.97572352329711,0.0};'xxx204';100.0;-0.5445500638138309
205;142.31925686988572;189.77504462105503;24.55716612911242;60.0;{59.52295780407777,38.999711214181396,0.0};'xxx205';100.0;-0.791429019934646
206;180.0;198.61939431522975;24.55716612911242;70.0;{75.73750401998605,46.983331492041536,0.0};'xxx206';100.0;-1.2554096865227626
207;180.0;208.1552149006301;24.55716612911242;80.0;{35.71988927433628,88.73984627839528,0.0};'xxx207';100.0;-2.5913887702712386
208;180.0;211.36634139360254;24.55716612911242;90.0;{57.25991083489072,19.649288785713182,0.0};'xxx208';100.0;-2618.026097607952
209;0.0;0.0;23.432175191917413;-90.0;{4.160298448237598,70.18242528015404,0.0};'xxx209';110.0;2483.2307276476877
210;0.0;0.0;23.432175191917413;-80.0;{70.0187934789969,62.13407817181501,0.0};'xxx210';110.0;2.4579648871713937
211;0.0;0.0;23.432175191917413;-70.0;{68.65081325616237,22.939369481735707,0.0};'xxx211';110.0;1.1907718995651948
212;41.35064991139876;9.181228461626253;23.432175191917413;-60.0;{60.89016847416372,24.026763563417287,0.0};'xxx212';110.0;0.7506803934649355
213;58.901387421749746;31.94643671353226;23.432175191917413;-50.0;{8.38558714283587,11.070321549756123,0.0};'xxx213';110.0;0.5165125941412642
214;68.67421915486514;57.84727706560172;23.432175191917413;-40.0;{87.04125906659303,78.29444237344215,0.0};'xxx214';110.0;0.36367041805925454
215;75.50906668630816;84.12319748122083;23.432175191917413;-30.0;{31.11224475799209,32.334489781949785,0.0};'xxx215';110.0;0.25022679782164525
216;80.923868590125;109.23992414364102;23.432175191917413;-20.0;{32.30116429268457,59.50917013622744,0.0};'xxx216';110.0;0.15774671128266685
217;85.61712097322018;132.10110215978779;23.432175191917413;-10.0;{6.367232011583013,31.5216156176348,0.0};'xxx217';110.0;0.0764210880410048
218;90.0;151.86021725750535;23.432175191917413;0.0;{89.50183809056811,98.31675459017613,0.0};'xxx218';110.0;-0.0
219;94.38287902677982;167.87245688522435;23.432175191917413;10.0;{76.50006211411366,95.4084311233813,0.0};'xxx219';110.0;-0.0764210880410048
220;99.07613140987502;179.6957390823607;23.432175191917413;20.0;{90.79439787053029,26.80767245197304,0.0};'xxx220';110.0;-0.15774671128266685
221;104.49093331369184;187.1227083486732;23.432175191917413;30.0;{33.47044680510236,37.33583039973949,0.0};'xxx221';110.0;-0.25022679782164525
222;111.32578084513486;190.2608958443466;23.432175191917413;40.0;{1.4239410960000254,99.36221802120842,0.0};'xxx222';110.0;-0.36367041805925454
223;121.09861257825027;189.75084260150163;23.432175191917413;50.0;{39.37519013494671,72.07719033228952,0.0};'xxx223';110.0;-0.5165125941412642
224;138.64935008860124;187.58161443879646;23.432175191917413;60.0;{33.7499610157363,32.147871010545906,0.0};'xxx224';110.0;-0.7506803934649355
225;180.0;193.57576061340592;23.432175191917413;70.0;{40.958112125370924,30.61075538018796,0.0};'xxx225';110.0;-1.1907718995651948
226;180.0;202.86943371746455;23.432175191917413;80.0;{23.698218153663042,42.524202480004725,0.0};'xxx226';110.0;-2.4579648871713937
227;180.0;205.99901859736022;23.432175191917413;90.0;{83.12168237600972,34.9232066861912,0.0};'xxx227';110.0;-2483.2307276476877
228;0.0;0.0;21.595209468768765;-90.0;{20.257068084609863,20.68400868173289,0.0};'xxx228';120.0;2267.94623582015
229;0.0;0.0;21.595209468768765;-80.0;{86.06483427012267,49.98337669295132,0.0};'xxx229';120.0;2.244870825563237
230;0.0;0.0;21.595209468768765;-70.0;{4.689638840973487,77.37918507474426,0.0};'xxx230';120.0;1.08753754424484
